empleado_num,cantidad_horas,justificacion,fecha_registro
CD0002,2,Reunion de proyectos,2025-03-03 10:12:13.146590
CD0001,2,Mantenimiento,2025-06-05 18:13:13.349060
RH8901,4,Revision de inventario trimestral,2024-09-13 16:39:21.212112
AV9029,3,Operacion de Emergencia,2024-03-11 09:29:44.422757
V09973,3,Requerimiento del almacen,2025-04-10 13:09:36.586521
V89890,2,Mantenimiento,2024-09-27 09:33:40.356641
DR8901,2,Capacitacion,2024-08-03 11:10:55.934572
CD0001,2,Reunion de proyectos,2024-11-13 17:06:58.172176
RH8901,5,Reunion de proyectos,2024-11-28 13:38:14.625457
DR8901,3,Capacitacion,2024-03-24 18:06:27.342389
DR8901,2,Mantenimiento,2026-01-03 08:43:27.748622
BE3019,2,Requerimiento de proyectos,2024-06-17 13:50:19.630026
DR8901,1,Voluntariado,2026-04-13 12:42:19.171516
RH8901,3,Reunion de proyectos,2025-05-27 15:41:07.512837
V83021,2,Reunion de proyectos,2025-06-05 16:37:10.274861
CD0001,1,Reunion de proyectos,2025-12-18 15:23:44.686146
AV9029,4,Mantenimiento,2024-07-07 16:15:53.437411
V89890,3,Operacion de Emergencia,2024-02-06 17:38:32.091898
V83021,1,Requerimiento del almacen,2026-04-21 13:44:00.540188
CD0001,1,Voluntariado,2024-08-27 11:36:16.457305
DR8901,2,Revision de inventario trimestral,2025-04-15 14:45:21.430171
CD0002,4,Operacion de Emergencia,2026-03-24 14:19:35.555470
BE3019,3,Capacitacion,2025-05-02 14:38:37.505012
RH8901,1,Requerimiento del almacen,2024-03-21 11:39:40.195423
DR8901,1,Requerimiento del almacen,2025-02-06 13:27:52.092752
V56718,3,Reunion de proyectos,2026-01-23 17:55:16.804651
DR8901,3,Operacion de Emergencia,2024-03-15 08:44:41.956046
RH8901,3,Capacitacion,2024-11-26 11:54:10.703159
CD0001,3,Mantenimiento,2024-05-31 10:00:07.711954
V89890,2,Requerimiento de proyectos,2025-03-17 14:59:53.146068
V89890,3,Mantenimiento,2025-09-20 18:15:21.441041
BE3019,1,Reunion de proyectos,2025-04-22 14:17:58.390970
V89890,1,Requerimiento de proyectos,2024-12-06 14:12:02.360202
V83021,5,AOG de ultimo momento,2026-04-29 08:32:24.794530
V56718,2,Voluntariado,2024-07-31 13:56:03.524147
V56718,2,Requerimiento del almacen,2025-01-09 13:19:20.077791
V09973,5,Reunion de proyectos,2025-01-21 18:14:47.876688
RH8901,5,Reunion de proyectos,2025-07-12 09:26:34.030309
CD0002,3,Requerimiento de proyectos,2026-04-19 12:42:12.771734
BE3019,2,Revision de inventario trimestral,2024-10-01 12:09:17.653020
CD0001,3,Voluntariado,2026-04-30 10:31:29.143525
V89890,2,Reunion de proyectos,2025-11-07 11:07:24.722822
V56718,2,Capacitacion,2024-10-08 17:27:32.334183
RH8901,5,Operacion de Emergencia,2024-10-02 08:49:13.765450
V56718,3,Operacion de Emergencia,2025-11-05 16:11:21.714346
